"Codice fiscale
Steuernummer";"Repertorio
Repertoire";"Denominazione 
Bezeichnung";"Sezione (**)
Sektion";"Cognome Legale rapp.
Nachname Ges. Vertreter";"Nome Legale rapp.
Vorname Ges. Vertreter";"Rete 
Netzwerk";"Comune Sede legale
Gemeinsame Rechtssitz";"Provincia Sede legale
Provinz Rechtssitz";" 5x
1000";"Data Iscrizione
Anmeldedatum"
93082910840;133785;100 ME STESSA;ALTRI ENTI DEL TERZO SETTORE;RODRIGUES AFONSO;ANA CARLA;No;CAMMARATA;AG;Si;08/04/2024
92113220641;134167;100 NONNI INSIEME PER LA COMUNITA;ORGANIZZAZIONI DI VOLONTARIATO;RACCA;ARMANDO;No;AVELLINO;AV;No;13/05/2024
97856330010;32553;100PER100 APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DI CASO;ANGELO;No;TORINO;TO;No;03/10/2022
94118320301;51589;100 PER CENTO G COMITATO GENITORI TALMASSONS APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;NOBILE;BARBARA;No;TALMASSONS;UD;No;03/10/2022
91056090268;157422;100 VOLTE MELIUS ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DAL ZOTTO;MARIA;No;SAN VENDEMIANO;TV;Si;02/03/2026
90038010873;72548;104 ORIZZONTALE  ODV;ORGANIZZAZIONI DI VOLONTARIATO;GRASSO;ROSARIO LUCIO;No;ACIREALE;CT;Si;07/11/2022
05253240872;20237;104 ORIZZONTALE SOCIETA' COOPERATIVA SOCIALE  IN LIQUIDAZIONE;IMPRESE SOCIALI;AMICO;MARIO;No;ACIREALE;CT;No;21/03/2022
91170670680;112952;10DODICI48 APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SCHIAVONE;MIRKO;No;PESCARA;PE;No;21/06/2023
03229390731;15200;10 MAGGIO MULTISERVIZI SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;AVERSA;PIETRO;No;TARANTO;TA;No;21/03/2022
95154320634;139664;10 RECORDS ETS;ALTRI ENTI DEL TERZO SETTORE;BRUSCO;LUDOVICO;No;NAPOLI;NA;Si;26/07/2024
91024820242;55466;110 CLUB FRECCE TRICOLORI DI ROMANO D'EZZELINO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CAMPAGNOLO;ADRIANO;No;ROMANO D'EZZELINO;VI;Si;07/12/2022
93174110424;161780;112 BIMBI ORGANIZZAZIONE DI VOLONTARIATO;ORGANIZZAZIONI DI VOLONTARIATO;STAFFOLANI;ALBERTO;No;FALCONARA MARITTIMA;AN;Si;15/12/2025
94143690264;87594;113^ NUCLEO DI VOLONTARIATO E PROTEZIONE CIVILE DI PAESE-PONZANO V.TO ODV;ORGANIZZAZIONI DI VOLONTARIATO;MILANESE;LUCA;No;PAESE;TV;No;14/12/2022
91028780061;130874;11 FANTERIA CASALE ODV;ORGANIZZAZIONI DI VOLONTARIATO;PATANELLA;ROSARIA;No;CASALE MONFERRATO;AL;Si;22/02/2024
02769400033;136682;11METERS APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;POLARA;LORENZO;No;NOVARA;NO;Si;27/06/2024
97469180158;50783;11 NOTE ETS;ALTRI ENTI DEL TERZO SETTORE;STELLA;MARIA GLORIA;No;MILANO;MI;No;27/09/2022
04170850046;156476;12018 APS ASD;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PRESTANA;BRUNO;No;ROCCAVIONE;CN;No;16/07/2025
90039460168;37431;1 2 3 G.O. - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MERICI;ANGELO;No;GAZZANIGA;BG;Si;28/06/2022
97859110013;105641;1 2 3 PERCHE' GIOCO CRESCO IMPARO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FORNELLO;FEDERICO;No;SETTIMO TORINESE;TO;No;10/03/2023
93171410421;148654;1 2 3 SELVA!;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MORESCHI;CHIARA;No;CASTELFIDARDO;AN;Si;27/02/2025
06902750725;21975;1, 2, 3 STELLA - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;STANO;ROSA;No;SANTERAMO IN COLLE;BA;Si;21/03/2022
02596610390;12151;1, 2, 3 STELLA SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;GRAZIANI;VANIA;No;BRISIGHELLA;RA;Si;21/03/2022
97848510588;89485;1 2 3 WE START - ODV;ORGANIZZAZIONI DI VOLONTARIATO;GORETTI;CAROLINA;No;ROMA;RM;Si;07/11/2022
92309940283;2741;124 GRUPPO DI VOLONTARIATO DELL'ANC DI PADOVA E NOVENTA PADOVANA ODV;ORGANIZZAZIONI DI VOLONTARIATO;MARCHIORO;FILIPPO;No;PADOVA;PD;Si;21/04/2022
92312710285;119378;125^ GRUPPO DI VOLONTARIATO ANC DI SELVAZZANO DENTRO ODV;ORGANIZZAZIONI DI VOLONTARIATO;COLUCCIA;DONATO;No;SELVAZZANO DENTRO;PD;No;03/10/2023
93304850238;138194;128 BUSSOLENGO ODV;ORGANIZZAZIONI DI VOLONTARIATO;SCAMPERLE;DINO;No;BUSSOLENGO;VR;No;17/10/2024
94027700023;41749;12 DICEMBRE ODV ETS;ORGANIZZAZIONI DI VOLONTARIATO;PARONUZZI TICCO;GIANNI;No;VERCELLI;VC;Si;27/07/2022
96613750585;147804;12 LAB - CENTRO GIOVANI - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CORDELLA;VALERIO;No;ROMA;RM;Si;12/02/2025
06032510486;21139;12 PASSI - SOCIETA' COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;CHIRONI;ELENA;No;BORGO SAN LORENZO;FI;No;21/03/2022
92092720397;35915;12 POLLICI SOCIAL CLUB APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GUERRA;SIMONE;No;LUGO;RA;Si;15/06/2022
91014210636;25450;12 STELLE SAN MICHELE COOPERATIVA - IMPRESA SOCIALE;IMPRESE SOCIALI;D'ACUNTO;VINCENZO;No;ISCHIA;NA;No;21/03/2022
90201180271;137182;131 GRUPPO DI VOLONTARIATO ANC ODV;ORGANIZZAZIONI DI VOLONTARIATO;CAMPORESE;ANTONIO;No;MIRA;VE;Si;12/06/2024
90201300275;136479;132 GRUPPO DI VOLONTARIATO ODV DELL'ASSOCIAZIONE NAZIONALE CARABINIERI;ORGANIZZAZIONI DI VOLONTARIATO;TON;GIANNI;No;FIESSO D'ARTICO;VE;Si;04/06/2024
94115130711;32514;136 CLUB FRECCE TRICOLORI FOGGIA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PASTORE;DANIELE;No;FOGGIA;FG;Si;22/08/2022
02552660033;119479;13 ORCHI SOFTAIR APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CREMONA;ANDREA;No;TRECATE;NO;Si;12/09/2023
93023700763;121244;14 GIUGNO;ORGANIZZAZIONI DI VOLONTARIATO;ZUCALE;TIZIANO;No;RIONERO IN VULTURE;PZ;Si;09/08/2023
93212450238;800;1509 L'IMBOSCATA CULTURA MEMORIA TERRITORIO ODV;ORGANIZZAZIONI DI VOLONTARIATO;MANTOVANI;DARIA;No;ERBE';VR;Si;04/04/2022
97858120013;919;160 CM APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GUGLIERMINOTTI;FABIO;No;TORINO;TO;Si;11/02/2022
93151260754;82167;167rEvolution APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DI FRANCESCO;ANTONIA;No;LECCE;LE;No;24/11/2022
93047830661;90051;180AMICI L'AQUILA ETS - ODV;ORGANIZZAZIONI DI VOLONTARIATO;MANCUSI ;ANTONELLA MARIA;No;L'AQUILA;AQ;Si;20/12/2022
97354330587;114348;180AMICI ODV;ORGANIZZAZIONI DI VOLONTARIATO;REALI;ALESSANDRO;No;ROMA;RM;No;07/11/2022
91056050742;85621;180 AMICI PUGLIA - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MINERVINI;CARLO;No;LATIANO;BR;Si;07/12/2022
92102790406;148661;18CONLODE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ROSETTI;ALICE;No;FORLI';FC;No;19/03/2025
91586590159;149824;18IMI88 ODV;ORGANIZZAZIONI DI VOLONTARIATO;BALCONI;CARLO;No;GORGONZOLA;MI;Si;03/04/2025
91097120744;162527;18' LAND A.P.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MAGGI;ANNAMARIA;No;FRANCAVILLA FONTANA;BR;No;18/12/2025
02626140806;12367;1931 SOCIETA' COOPERATIVA SOCIALE - IMPRESA SOCIALE;IMPRESE SOCIALI;MOJO;LOREDANA;No;REGGIO DI CALABRIA;RC;No;21/03/2022
95140380247;3373;194 NUCLEO DI VOLONTARIATO E DI PROTEZIONE CIVILE DELL'ASSOCIAZIONE NAZIONALE CARABINIERI DI QUINTO VICENTINO O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;LAFACE;GIOVANNI;No;QUINTO VICENTINO;VI;Si;05/05/2022
91028260288;61960;195 NUCLEO DI VOLONTARIATO E PROTEZIONE CIVILE DELL'ASSOCIAZIONE NAZIONALE CARABINIERI DI MONSELICE ODV;ORGANIZZAZIONI DI VOLONTARIATO;GELSETTI;DARIO;No;MONSELICE;PD;No;28/10/2022
90024550833;155007;19 MARZO 1860 APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;APRILE;PIETRO;No;SPADAFORA;ME;Si;24/07/2025
05592140288;131542;1 BIS APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;LUCENTI;ELENA;No;PADOVA;PD;Si;18/03/2025
98210030171;108285;1 CAMPER - ASSOCIAZIONE DI PROMOZIONE SOCIALE O APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MANZONI;MAURO;No;SAN GERVASIO BRESCIANO;BS;Si;14/07/2023
93112350660;37198;1CONA APS-ETS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ANTONINI;FRANCESCO;No;SAN DEMETRIO NE' VESTINI;AQ;No;20/02/2023
91072290652;119384;1 LOVE A.S.D.P.S.E.T.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SERRA;CARMINE;No;EBOLI;SA;No;04/08/2023
84003660267;97521;1 MAGGIO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;D'ALTOE';ANTONIO;No;TARZO;TV;No;26/01/2023
83001310503;111800;1 MAGGIO MONTECERBOLI;ASSOCIAZIONI DI PROMOZIONE SOCIALE;BASHA; SILVANA;No;POMARANCE;PI;No;07/11/2022
92001830527;84027;1 MAGGIO ODV;ORGANIZZAZIONI DI VOLONTARIATO;BARI;DUCCIO;No;ASCIANO;SI;No;07/11/2022
08864380962;23273;1 OUT SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;BROCATO;ROBERTO;No;MILANO;MI;No;21/03/2022
92006400045;42315;1 PAPA GOLF TELECOMUNICAZIONI  ODV;ORGANIZZAZIONI DI VOLONTARIATO;GERBAUDO;ADRIANA;No;FOSSANO;CN;Si;28/07/2022
93102280380;3290;1UP APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DOLZANI;ALICE;No;FERRARA;FE;No;12/04/2022
95114030166;113069;2000 BIMBI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MOTTA;DAVIDE;No;PONTERANICA;BG;Si;06/07/2023
91066260406;64069;2000GIOVANI ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;BOSCHETTI;MONICA;No;BELLARIA-IGEA MARINA;RN;No;04/11/2022
02244840902;10080;2000 LUNE SOCIETA' COOPERATIVA SOCIALE A R.L.;IMPRESE SOCIALI;SPEZZIGU;ANGELO ROBERTO;No;SASSARI;SS;No;21/03/2022
94018390131;36524;2000 PER TE ODV;ORGANIZZAZIONI DI VOLONTARIATO;CAVALERI;CRISTIANO;No;MISSAGLIA;LC;Si;24/06/2022
04157170137;138364;2004 ANDRATESE ASSOCIAZIONE SPORTIVA DILETTANTISTICA E DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;IACONIS;ROBERTO;No;FINO MORNASCO;CO;Si;16/07/2024
93289920238;106796;20 20 VENTIVENTI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;COCOZZA;CIRO;No;MOZZECANE;VR;No;20/03/2023
94027180788;108986;20 DI CULTURA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SCARDINO;ANTONELLA;No;ROSETO CAPO SPULICO;CS;Si;20/06/2023
97889030017;102334;20E30 A.P.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PAVANELLO;LORENZO;No;TORINO;TO;Si;31/05/2023
92018040235;64875;20^ GRUPPO DI VOLONTARIATO DELL'ASSOCIAZIONE NAZIONALE CARABINIERI  DI BADIA CALAVENA ODV;ORGANIZZAZIONI DI VOLONTARIATO;BOTTACINI;PIETRO GIUSEPPE;No;BADIA CALAVENA;VR;No;04/11/2022
92102360408;144036;2100 APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MICHELACCI;ELIA;No;FORLI';FC;No;24/10/2024
92566440159;119338;21 E.T.S.;ALTRI ENTI DEL TERZO SETTORE;CURTI;PIERPAOLO;No;LODI;LO;Si;05/08/2024
92020400542;91142;21 GENNAIO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SEBASTIANI;FABIO;No;GUBBIO;PG;Si;07/03/2023
93553720728;147531;21 GIUSEPPE UVA ODV;ORGANIZZAZIONI DI VOLONTARIATO;FINETTI;ELENA;No;BARI;BA;No;20/01/2025
02345530030;40079;21 MARZO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ZANNI;MATILDE;No;VERBANIA;VB;No;21/07/2022
94218010364;38203;21 SHRIMPS APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DI CICCO;DOMENICO;No;MODENA;MO;Si;25/08/2022
02525220063;11638;21 SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;D'UVA;MARISA;No;ALESSANDRIA;AL;No;21/03/2022
06184760657;131187;22 PAZZI EVENTI A.S.D.P.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MENDOZA;BLANCA MARIA;No;BATTIPAGLIA;SA;Si;12/02/2024
97854550155;109731;232 ASSOCIAZIONE DI PROMOZIONE SOCIALE (O APS);ASSOCIAZIONI DI PROMOZIONE SOCIALE;PIRILLO;LUDOVICA;No;MILANO;MI;No;07/04/2023
02887360168;13826;23/C ART SOCIETA' COOPERATIVA SOCIALE ONLUS;IMPRESE SOCIALI;VECCHIARELLI;FLAVIA;No;BERGAMO;BG;Si;21/03/2022
95266500164;160106;23CONNECTEDCOMMUNITIES (detta 23CCX) ETS;ALTRI ENTI DEL TERZO SETTORE;MAZZI;MARIA ENRICA;No;BERGAMO;BG;No;07/01/2026
92199040343;36002;24FPS-APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ADAMI;MILO;No;PARMA;PR;No;15/06/2022
97016030781;92120;25 APRILE MARCO DE SIMONE ODV;ORGANIZZAZIONI DI VOLONTARIATO;POLOPOLI;MARCO;No;CORIGLIANO-ROSSANO;CS;Si;27/12/2022
95139750137;1463;25MAGGIO1907 A.P.S.;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MATARAZZO;FABIO;No;COMO;CO;Si;27/02/2023
10367871000;23868;25 OTTOBRE - SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;D'ANGELI;SANDRO;No;ROMA;RM;No;21/03/2022
90036700129;86309;26PER1 APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;GRILLO;SIMONE;No;BUSTO ARSIZIO;VA;Si;07/11/2022
97566630014;104887;296 MODEL VENARIA;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CIOTOLA;Gennaro;No;VENARIA REALE;TO;Si;11/05/2023
94218000365;118688;2A APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DEGLI ESPOSTI;LUCA;No;MARANO SUL PANARO;MO;Si;19/08/2025
03848961201;31062;2A SOCIAL SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;STECCANELLA;DANIELE;No;BOLOGNA;BO;Si;09/05/2022
96416420584;32157;2BU TO BE YOU  ASD APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;VERDI;LUCA;No;ROMA;RM;No;14/07/2023
93161090423;47928;2HANDS ANCONA ORGANIZZAZIONE DI VOLONTARIATO ;ORGANIZZAZIONI DI VOLONTARIATO;PRETTO;TOMMASO MARIA;No;ANCONA;AN;No;13/09/2022
93513470729;108728;2HANDS GIOVINAZZO O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;LATTANZI;ADRIANA;No;GIOVINAZZO;BA;Si;08/06/2023
93519610724;33466;2HANDS ORGANIZATION;ORGANIZZAZIONI DI VOLONTARIATO;MANCINI;RICCARDO MARIA;No;MOLFETTA;BA;Si;30/06/2022
93125900758;44771;2HE CENTER FOR HUMAN HEALTH AND ENVIROMNENT - APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ROLLO;GIORGIA;No;CALIMERA;LE;Si;18/08/2022
97948730581;140229;2H WAY ASD APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;VESCOVI;LOREDANA;No;ROMA;RM;Si;25/09/2024
02709300905;12877;2LA SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;RUIU;ANTONELLO;No;PLOAGHE;SS;No;21/03/2022
92047920670;120338;2 MANI X LA VITA ODV;ORGANIZZAZIONI DI VOLONTARIATO;TOSELLI;SIMONA;No;CASTELLALTO;TE;Si;25/07/2023
02572430425;11966;2MC SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;PISTILLI;MAURO;No;FABRIANO;AN;No;21/03/2022
04406490757;18880;2ND CHANCE - SOC. COOP. SOCIALE;IMPRESE SOCIALI;CAPONE;VALENTINA;No;LECCE;LE;Si;21/03/2022
95197910656;116799;2NDHAND SOLIDALE;ORGANIZZAZIONI DI VOLONTARIATO;CHIARADONNA;MARTA;No;SALERNO;SA;Si;03/08/2023
91028950524;2553;2ND LIFE SAVE THE HORSES;ORGANIZZAZIONI DI VOLONTARIATO;BARZAGHI;MATTIA;No;CASOLE D'ELSA;SI;Si;06/06/2022
94060360156;36230;2NOVE9 ASSOCIAZIONE VITTIME INCIDENTI STRADALI - ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CANCEDDA;ROBERTO;No;MILANO;MI;Si;17/06/2022
03906100544;122816;2P ASSISTENZA SANITARIA SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;PASSERINI;MARCO;No;ASSISI;PG;No;20/09/2023
03048140903;160713;2PD COSTRUZIONI COOPERATIVA SOCIALE;IMPRESE SOCIALI;DOCCU;DANIELE;No;SORSO;SS;No;27/10/2025
04074990922;146128;2PFN SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;PIREDDA;FRANCESCA;No;CARBONIA;SU;No;15/11/2024
02218330443;104735;2PM SRL IMPRESA SOCIALE;IMPRESE SOCIALI;PARADISI;ALBERTO;No;ASCOLI PICENO;AP;No;24/07/2023
97580780019;51961;2PR PREVENZIONE E PROMOZIONE ODV;ORGANIZZAZIONI DI VOLONTARIATO;PIGNATELLI;PAOLA;No;TORINO;TO;Si;04/10/2022
96631000583;156430;2RC OFFICINA CONTEMPORANEA APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;ROSSI;SIMONA;No;BRACCIANO;RM;No;14/10/2025
03128430927;14824;2 S MEDICAL SOCIETA' COOPERATIVA SOCIALE - IN SCIOGLIMENTO;IMPRESE SOCIALI;SANTORU;IGNAZIO;No;CAGLIARI;CA;No;21/03/2022
04052690924;136141;2 SMP SOCIETA' COOPERATIVA SOCIALE - IN STATO DI INSOLVENZA;IMPRESE SOCIALI;PINNA;ALESSANDRO;No;SAN GIOVANNI SUERGIU;SU;No;05/04/2024
04170500922;157393;2SP SOCIETA' COOPERATIVA SOCIALE ETS;IMPRESE SOCIALI;PISANO;FERNANDA;No;MASAINAS;SU;No;23/07/2025
03795280928;27810;2T SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;TOCCO;ANDREA;No;VILLAMASSARGIA;SU;No;06/04/2022
92253660283;123854;30 NODI PER IL FEGATO - ETS;ALTRI ENTI DEL TERZO SETTORE;PIEMONTE;GIUSEPPE;No;PADOVA;PD;Si;22/11/2023
92047710451;75966;31 SETTEMBRE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;VACCA;GAETANO;No;MASSA;MS;No;07/11/2022
14689011006;25039;32 DIECI SOCIETA' COOPERATIVA SOCIALE-A RESPONSABILITA' LIMITATA;IMPRESE SOCIALI;TORCASSO;PASQUALE;No;SANT'ANGELO ROMANO;RM;No;21/03/2022
95046300588;106193;33 CENTILITRI APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SPIGONE;VALENTE;No;SEGNI;RM;Si;15/03/2023
04941410278;158436;33 MUSIC SCHOOL APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SCABIN;MICHELA;No;FOSSO';VE;Si;13/11/2025
92025930758;94691;34 FUSO APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;LOVECCHIO;ROSARIA;No;CORIGLIANO D'OTRANTO;LE;Si;11/01/2023
92104990483;49165;360ATELIER APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;PIERINI;GABRIELE;No;PRATO;PO;Si;16/09/2022
02782290346;102209;360' Creativity Events APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;MINEO;CAMILLA;No;PARMA;PR;Si;24/02/2023
95185160637;137806;360 DANCE SCHOOL ASD APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;FORINO;MANUELA;No;SAN GIORGIO A CREMANO;NA;No;26/06/2024
93064920049;139424;360 GRADI E OLTRE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;DELMONTE;FABIO;No;MONTEZEMOLO;CN;Si;19/07/2024
97789590011;50738;360 GRADI ODV;ORGANIZZAZIONI DI VOLONTARIATO;MORINO;LUCA;No;TORINO;TO;Si;23/09/2022
03774630168;17404;360GRADI - SOCIETA' COOPERATIVA SOCIALE - ONLUS;IMPRESE SOCIALI;VIANI;ROBERTO;No;CALVENZANO;BG;Si;21/03/2022
01997240898;28327;360MULTISERVIZI SOCIETA' COOPERATIVA SOCIALE;IMPRESE SOCIALI;TABACCO;CESARE;No;SORTINO;SR;No;07/04/2022
91022080476;67235;365GIORNIALFEMMINILE APS;ASSOCIAZIONI DI PROMOZIONE SOCIALE;SOTTOSANTI;GIOVANNA;No;MONTECATINI TERME;PT;Si;07/11/2022
97555670153;111128;365GRADI ASSOCIAZIONE DI PROMOZIONE SOCIALE;ASSOCIAZIONI DI PROMOZIONE SOCIALE;CARMINATI;LUCA;No;MILANO;MI;Si;08/06/2023
91047830343;125639;365 VOLTE DONNA O.D.V.;ORGANIZZAZIONI DI VOLONTARIATO;MESTIERI;NICOLETTA;No;SALSOMAGGIORE TERME;PR;Si;19/12/2023
